aclnn_api,mindspore,pyboost,kbk,kernel_mod_src,pyboost_src,kernel_mod_gen,pyboost_gen,evidence,via_ops,via_kernel_mod_src,via_pyboost_src,via_kernel_mod_gen,via_pyboost_gen,custom_dispatch_ops,custom_dispatch_names,direct_match,suspected_fusion,cpp_funcs,kernel_mod_files,pyboost_files,remarks
aclnnInplaceZero,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,GatherDGradV2;InplaceZero;IsInf;MaskedSelectGrad;MultiScaleDeformableAttnGrad;NewZeros;Zeros;ZerosLikeExt,GatherDGradV2;InplaceZero;IsInf;MaskedSelectGrad;MultiScaleDeformableAttnGrad;NewZeros;Zeros;ZerosLikeExt,,,,InplaceZero,InplaceZeroAscend,InplaceZero,False,GatherDGradAscend;InplaceZeroAclnnKernelMod;IsInfAscend;MaskedSelectGradAclnnKernelMod;MultiScaleDeformableAttnGradAscend;NewZerosAscend;ZerosAscendCall;ZerosLikeExtAscendCall,kernel_mod_impl/customize/gather_d_grad_v2_aclnn_kernel.cc;kernel_mod_impl/customize/gather_d_grad_v2_aclnn_kernel.h;kernel_mod_impl/customize/inplace_zero_aclnn_kernel.cc;kernel_mod_impl/customize/inplace_zero_aclnn_kernel.h;kernel_mod_impl/customize/isinf_aclnn_kernel.cc;kernel_mod_impl/customize/isinf_aclnn_kernel.h;...(+10),,shared_by_8_ops;has_custom_dispatch
aclnnInstanceNorm,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnInverse,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,MatrixInverseExt,,,MatrixInverseExt,MatrixInverseExt,,,,True,,,,
aclnnIou,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnIsClose,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,IsClose,IsClose,,,,IsClose,IsCloseAscend,IsClose,False,IsCloseAscend,kernel_mod_impl/customize/isclose_aclnn_kernel.cc;kernel_mod_impl/customize/isclose_aclnn_kernel.h,,has_custom_dispatch
aclnnIsFinite,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,IsFinite,,,IsFinite,IsFinite,,,IsFinite,False,,,,
aclnnIsInScalarTensor,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnIsInTensorScalar,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnIsInf,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,IsInf,IsInf,,,,IsInf,IsInfAscend,IsInf,False,IsInfAscend,kernel_mod_impl/customize/isinf_aclnn_kernel.cc;kernel_mod_impl/customize/isinf_aclnn_kernel.h,,has_custom_dispatch
aclnnIsNegInf,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,IsNegInf,,,IsNegInf,IsNegInf,,,IsNegInf,False,,,,
